"plot_type","param","kind","default"
"col","x","column (from data_csv)","(required)"
"col","y","column (from data_csv)","(required)"
"col","fill","column (from data_csv)",""
"col","fill_colour","literal",""
"col","group","column (from data_csv)",""
"col","group_gap","literal","0.8"
"col","position","literal","stack/dodge/fill (default: stack)"
"col","orientation","literal","vertical/horizontal (default: vertical)"
"col","sec_y","column (from data_csv)",""
"col","sec_type","literal","line/point/col (default: line)"
"col","sec_limits","literal",""
"col","sec_label","literal",""
"col","sec_ylab","literal",""
"col","sec_colour","literal",""
"col","sec_linewidth","literal","0.55"
"col","sec_points","literal","FALSE"
"col","palette","literal","qualitative"
"col","index","literal",""
"col","pct_axis","literal","FALSE"
"col","value_accuracy","literal",""
"col","value_breaks","literal",""
"col","value_limits","literal",""
"col","value_labels","literal","FALSE"
"col","x_lim","literal",""
"col","x_lim_follow_data","literal","FALSE"
"col","forecast_x","literal",""
"col","forecast_label","literal","raming"
"col","reverse_legend","literal","TRUE"
"col","legend_ncol","literal",""
"col","facet","column (from data_csv)",""
"col","facet_ncol","literal",""
"col","facet_scales","literal","fixed"
"col","legend","literal","bottom"
"col","zeroline","literal","TRUE"
"col","minor","literal","FALSE"
"col","ticks","literal","TRUE"
"col","flush_legend","literal","TRUE"
"col","axis_text_size","literal","7"
"col","legend_key_size","literal",""
"col","grid_colour","literal","black"
"col","grid_linewidth","literal","0.1"
"col","title","literal",""
"col","subtitle","literal",""
"col","xlab","literal",""
"col","ylab","literal",""
"col","filllab","literal",""
"area","x","column (from data_csv)","(required)"
"area","y","column (from data_csv)","(required)"
"area","fill","column (from data_csv)","(required)"
"area","sec_y","column (from data_csv)",""
"area","sec_type","literal","line/point/col (default: line)"
"area","sec_limits","literal",""
"area","sec_label","literal",""
"area","sec_ylab","literal",""
"area","sec_colour","literal",""
"area","sec_linewidth","literal","0.55"
"area","sec_points","literal","FALSE"
"area","palette","literal","qualitative"
"area","index","literal",""
"area","pct_axis","literal","FALSE"
"area","value_accuracy","literal",""
"area","value_breaks","literal",""
"area","value_limits","literal",""
"area","x_lim","literal",""
"area","x_lim_follow_data","literal","FALSE"
"area","forecast_x","literal",""
"area","forecast_label","literal","raming"
"area","reverse_legend","literal","TRUE"
"area","legend_ncol","literal",""
"area","facet","column (from data_csv)",""
"area","facet_ncol","literal",""
"area","facet_scales","literal","fixed"
"area","legend","literal","bottom"
"area","zeroline","literal","TRUE"
"area","minor","literal","FALSE"
"area","ticks","literal","TRUE"
"area","flush_legend","literal","TRUE"
"area","axis_text_size","literal","7"
"area","legend_key_size","literal",""
"area","grid_colour","literal","black"
"area","grid_linewidth","literal","0.1"
"area","title","literal",""
"area","subtitle","literal",""
"area","xlab","literal",""
"area","ylab","literal",""
"area","filllab","literal",""
"line","x","column (from data_csv)","(required)"
"line","y","column (from data_csv)","(required)"
"line","colour","column (from data_csv)",""
"line","line_colour","literal",""
"line","linewidth","literal","0.55"
"line","points","literal","FALSE"
"line","point_size","literal","1.1"
"line","sec_y","column (from data_csv)",""
"line","sec_type","literal","line/point/col (default: line)"
"line","sec_limits","literal",""
"line","sec_label","literal",""
"line","sec_ylab","literal",""
"line","sec_colour","literal",""
"line","sec_linewidth","literal","0.55"
"line","sec_points","literal","FALSE"
"line","palette","literal","qualitative"
"line","index","literal",""
"line","pct_axis","literal","FALSE"
"line","value_accuracy","literal",""
"line","value_breaks","literal",""
"line","value_limits","literal",""
"line","x_lim","literal",""
"line","x_lim_follow_data","literal","FALSE"
"line","ymin","column (from data_csv)",""
"line","ymax","column (from data_csv)",""
"line","forecast_x","literal",""
"line","forecast_label","literal","raming"
"line","reverse_legend","literal","FALSE"
"line","legend_ncol","literal",""
"line","facet","column (from data_csv)",""
"line","facet_ncol","literal",""
"line","facet_scales","literal","fixed"
"line","legend","literal","bottom"
"line","zeroline","literal",""
"line","minor","literal","FALSE"
"line","ticks","literal","TRUE"
"line","flush_legend","literal","TRUE"
"line","axis_text_size","literal","7"
"line","legend_key_size","literal",""
"line","grid_colour","literal","black"
"line","grid_linewidth","literal","0.1"
"line","title","literal",""
"line","subtitle","literal",""
"line","xlab","literal",""
"line","ylab","literal",""
"line","colourlab","literal",""
"box","x","column (from data_csv)","(required)"
"box","p5","column (from data_csv)","(required)"
"box","p25","column (from data_csv)","(required)"
"box","p50","column (from data_csv)","(required)"
"box","p75","column (from data_csv)","(required)"
"box","p95","column (from data_csv)","(required)"
"box","mean","column (from data_csv)",""
"box","fill","column (from data_csv)",""
"box","fill_colour","literal",""
"box","group","column (from data_csv)",""
"box","group_gap","literal","0.7"
"box","box_style","literal","ggcpb/james/modern/dot (default: ggcpb)"
"box","dot_labels","literal",""
"box","box_labels","literal",""
"box","label_accuracy","literal","0.1"
"box","width","literal","0.5"
"box","linewidth","literal","0.25"
"box","palette","literal","qualitative"
"box","index","literal",""
"box","pct_axis","literal","FALSE"
"box","value_accuracy","literal",""
"box","value_breaks","literal",""
"box","value_limits","literal",""
"box","value_axis","literal","bottom/top (default: bottom)"
"box","x_lim","literal",""
"box","x_lim_follow_data","literal","FALSE"
"box","orientation","literal","vertical/horizontal (default: vertical)"
"box","sec_y","column (from data_csv)",""
"box","sec_type","literal","line/point/col (default: line)"
"box","sec_limits","literal",""
"box","sec_label","literal",""
"box","sec_ylab","literal",""
"box","sec_colour","literal",""
"box","sec_linewidth","literal","0.55"
"box","sec_points","literal","FALSE"
"box","facet","column (from data_csv)",""
"box","facet_ncol","literal",""
"box","facet_scales","literal","fixed"
"box","legend","literal","bottom"
"box","reverse_legend","literal","FALSE"
"box","legend_ncol","literal",""
"box","zeroline","literal",""
"box","minor","literal","FALSE"
"box","ticks","literal","TRUE"
"box","flush_legend","literal","TRUE"
"box","axis_text_size","literal","7"
"box","legend_key_size","literal",""
"box","grid_colour","literal","black"
"box","grid_linewidth","literal","0.1"
"box","title","literal",""
"box","subtitle","literal",""
"box","xlab","literal",""
"box","ylab","literal",""
"box","filllab","literal",""
"dot","x","column (from data_csv)","(required)"
"dot","y","column (from data_csv)","(required)"
"dot","lower","column (from data_csv)","(required)"
"dot","upper","column (from data_csv)","(required)"
"dot","colour","column (from data_csv)",""
"dot","point_colour","literal",""
"dot","group","column (from data_csv)",""
"dot","group_gap","literal","0.7"
"dot","size","literal","1.4"
"dot","linewidth","literal","0.4"
"dot","cap_width","literal","0.25"
"dot","orientation","literal","horizontal/vertical (default: horizontal)"
"dot","sec_y","column (from data_csv)",""
"dot","sec_type","literal","line/point/col (default: line)"
"dot","sec_limits","literal",""
"dot","sec_label","literal",""
"dot","sec_ylab","literal",""
"dot","sec_colour","literal",""
"dot","sec_linewidth","literal","0.55"
"dot","sec_points","literal","FALSE"
"dot","palette","literal","qualitative"
"dot","index","literal",""
"dot","pct_axis","literal","FALSE"
"dot","value_accuracy","literal",""
"dot","value_breaks","literal",""
"dot","value_limits","literal",""
"dot","x_lim","literal",""
"dot","x_lim_follow_data","literal","FALSE"
"dot","zeroline","literal","TRUE"
